combo,system,policy,length,num_samples,seed,gui_nmse_q_mean_old,gui_nmse_p_mean_old,gui_hamres_mean_old,all3_win_count_old,win_nmse_q_count_old,win_nmse_p_count_old,win_hamres_count_old,gui_nmse_q_mean_new,gui_nmse_p_mean_new,gui_hamres_mean_new,all3_win_count_new,win_nmse_q_count_new,win_nmse_p_count_new,win_hamres_count_new,d_gui_nmse_q_mean,d_gui_nmse_p_mean,d_gui_hamres_mean,all3_win_rate_old,all3_win_rate_new,d_all3_win_rate,better_q,better_p,better_h,better_all3
3dof_zero_L400_N100_seed10,3dof,zero,400,100,10,6.87013920060144,0.146147093127941,0.0063275765412254,62,70,84,100,6.864524357114231,0.1463913922376788,0.0063104958135227,62,70,84,100,-0.00561484348720942,0.00024429910973780555,-1.7080727702700228e-05,0.62,0.62,0.0,True,False,True,False
3dof_zero_L450_N100_seed10,3dof,zero,450,100,10,7.931980361069548,1.5079390038424088,0.0087251721567008,68,71,87,100,7.896416022120313,1.506844288535149,0.0087685496010817,68,71,87,100,-0.03556433894923483,-0.001094715307259797,4.3377444380900826e-05,0.68,0.68,0.0,True,True,False,False
3dof_zero_L500_N100_seed10,3dof,zero,500,100,10,5.552298719341675,0.4899233643637304,0.0051292181691678,61,67,79,100,5.550881129302781,0.4904195716866005,0.0051086006456171,62,68,79,100,-0.0014175900388933016,0.0004962073228700903,-2.0617523550699873e-05,0.61,0.62,0.010000000000000009,True,False,True,True
3dof_zero_L550_N100_seed10,3dof,zero,550,100,10,26.12829116717738,0.2870072571765727,0.0070564876616117,59,64,75,100,26.09488856876873,0.286847193755137,0.0070841384748928,59,64,75,100,-0.03340259840864945,-0.00016006342143570773,2.7650813281100174e-05,0.59,0.59,0.0,True,True,False,False
3dof_zero_L600_N100_seed10,3dof,zero,600,100,10,26.48159732450454,0.179011636185601,0.0105057040665997,62,67,77,100,26.48783323672368,0.1790520585736645,0.0105558215927158,62,67,77,100,0.00623591221913955,4.042238806348242e-05,5.011752611609917e-05,0.62,0.62,0.0,False,False,False,False
3dof_zero_L650_N100_seed10,3dof,zero,650,100,10,3.712293944292095,1.0868953255972589,0.0074253780016442,66,75,78,99,3.7120454772555496,1.0817341089831758,0.0074211022962117,66,75,78,99,-0.0002484670365454633,-0.005161216614083086,-4.2757054325003735e-06,0.66,0.66,0.0,True,True,True,False
3dof_zero_L700_N100_seed10,3dof,zero,700,100,10,4.965092459253828,1.2827483394550614,0.0086722209746949,57,66,68,100,4.96297052444929,1.2827484524756687,0.0086636804090812,57,66,68,100,-0.0021219348045384834,1.130206073174378e-07,-8.540565613701298e-06,0.57,0.57,0.0,True,False,True,False
3dof_zero_L750_N100_seed10,3dof,zero,750,100,10,2.231058594007405,2.2262107472373387,0.01217601024342,63,66,70,99,2.22981433206684,2.226132081458015,0.0120871384401107,63,66,70,99,-0.001244261940565039,-7.86657793234724e-05,-8.887180330930007e-05,0.63,0.63,0.0,True,True,True,False
3dof_zero_L800_N100_seed10,3dof,zero,800,100,10,4.84433979955096,1.0093303401056086,0.0100616163347149,59,67,67,100,4.846840137330442,1.0104493784147293,0.0100248888874193,59,67,67,100,0.002500337779482109,0.0011190383091206346,-3.672744729560015e-05,0.59,0.59,0.0,False,False,True,False
3dof_zero_L850_N100_seed10,3dof,zero,850,100,10,3.275231295344489,0.5551145873682788,0.0129926251806318,64,69,74,100,3.2748093787794645,0.5550860545191767,0.0129437263973522,64,69,74,100,-0.00042191656502454933,-2.8532849102091973e-05,-4.889878327959951e-05,0.64,0.64,0.0,True,True,True,False
3dof_zero_L900_N100_seed10,3dof,zero,900,100,10,3.989691465403399,0.9365953260210732,0.0142165798554196,58,64,71,100,3.985687428120492,0.9363289027747196,0.0142208231112454,58,64,71,100,-0.0040040372829071025,-0.0002664232463536198,4.243255825800776e-06,0.58,0.58,0.0,True,True,False,False
3dof_zero_L950_N100_seed10,3dof,zero,950,100,10,3.472002048017332,0.5829277718912382,0.0219229969731532,58,68,65,100,3.471502812892634,0.5827685408146066,0.0218444957968313,58,68,65,100,-0.0004992351246979609,-0.0001592310766316274,-7.850117632189971e-05,0.58,0.58,0.0,True,True,True,False
3dof_zero_L1000_N100_seed10,3dof,zero,1000,100,10,6.555023032853099,0.745268402573736,0.0293585563777014,53,65,73,99,6.548408576088907,0.7452699156979279,0.0292627342126797,53,65,73,99,-0.006614456764192589,1.513124191832027e-06,-9.582216502170005e-05,0.53,0.53,0.0,True,False,True,False
3dof_zero_L1050_N100_seed10,3dof,zero,1050,100,10,2.294605997344587,1.2808888959221527,0.0440756783937104,49,60,59,100,2.294102595093415,1.279766773530117,0.0441946195648051,49,60,59,100,-0.0005034022511720693,-0.0011221223920356849,0.00011894117109470526,0.49,0.49,0.0,True,True,False,False
3dof_zero_L1100_N100_seed10,3dof,zero,1100,100,10,4.964355413106908,0.9840180954907104,0.1544322683289647,44,52,61,99,4.9642364643530525,0.9838916967782808,0.1545060440711677,44,52,61,99,-0.00011894875385554116,-0.00012639871242958733,7.377574220299166e-05,0.44,0.44,0.0,True,True,False,False
3dof_zero_L1150_N100_seed10,3dof,zero,1150,100,10,9.904049248419064,1.935982002758423,0.3565433537214994,41,52,55,100,9.901652069048096,1.9360923552578588,0.356547912415117,41,52,55,100,-0.002397179370968061,0.0001103524994359173,4.558693617595644e-06,0.41,0.41,0.0,True,False,False,False
3dof_zero_L1200_N100_seed10,3dof,zero,1200,100,10,16.10356069423521,2.019790289823948,0.5458272138237953,48,56,60,100,16.101309415288167,2.0198430472792817,0.5456569758057594,48,56,60,100,-0.0022512789470425787,5.275745533372955e-05,-0.00017023801803583982,0.48,0.48,0.0,True,False,True,False
3dof_spline_L50_N100_seed10,3dof,spline,50,100,10,494.72732757773525,196.8252511201282,0.1143862708075903,71,73,98,99,484.5065154301862,196.9181202757601,0.1143123296415433,71,73,98,99,-10.220812147549054,0.09286915563188813,-7.394116604700351e-05,0.71,0.71,0.0,True,False,True,False
3dof_spline_L100_N100_seed10,3dof,spline,100,100,10,16.91791400156626,0.0533567824190255,0.004184832307219,73,75,94,100,16.943741637465696,0.0533808861871835,0.0041825069297919,73,75,94,100,0.02582763589943582,2.4103768158000027e-05,-2.32537742710006e-06,0.73,0.73,0.0,False,False,True,False
3dof_spline_L150_N100_seed10,3dof,spline,150,100,10,10.368908946365186,0.4433687876002334,0.0060947960751946,64,70,93,98,10.384708466522827,0.442212523086166,0.0060949220237671,64,70,93,98,0.015799520157640856,-0.0011562645140674177,1.2594857250018687e-07,0.64,0.64,0.0,False,True,False,False
3dof_spline_L200_N100_seed10,3dof,spline,200,100,10,5.052246064334869,0.0768756626182989,0.0066094265825813,68,68,96,100,5.049460574374511,0.0768361692403407,0.0065704919677227,68,68,96,100,-0.0027854899603578787,-3.9493377958194076e-05,-3.8934614858599816e-05,0.68,0.68,0.0,True,True,True,False
3dof_spline_L250_N100_seed10,3dof,spline,250,100,10,6.09580762770102,0.0643769802143671,0.0142857684614136,56,59,86,100,6.0994575265245405,0.0643840910770585,0.0141595890413736,56,59,86,100,0.0036498988235207364,7.110862691409037e-06,-0.00012617942004000161,0.56,0.56,0.0,False,False,True,False
3dof_spline_L300_N100_seed10,3dof,spline,300,100,10,6.818801993492198,0.0585821203863069,0.0058606522681657,68,75,86,100,6.823435327435,0.0586015631674902,0.0059025638343882,68,75,86,100,0.004633333942801521,1.9442781183300062e-05,4.191156622249982e-05,0.68,0.68,0.0,False,False,False,False
3dof_spline_L350_N100_seed10,3dof,spline,350,100,10,11.814366735887834,0.2245723646972827,0.0110914081375813,70,74,87,100,11.81117282989606,0.2244050117487456,0.0110574324330082,70,74,87,100,-0.0031939059917736046,-0.0001673529485370917,-3.397570457309984e-05,0.7,0.7,0.0,True,True,True,False
3dof_spline_L400_N100_seed10,3dof,spline,400,100,10,2.1805630545549084,0.0720224937798181,0.0055547139531699,73,78,85,100,2.179279959710635,0.0720361441336977,0.005555456628208,73,78,85,100,-0.001283094844273247,1.3650353879596233e-05,7.42675038099827e-07,0.73,0.73,0.0,True,False,False,False
3dof_spline_L450_N100_seed10,3dof,spline,450,100,10,5.220345127741244,0.0913666585498459,0.0085824659123318,63,66,78,100,5.215808324281676,0.0913560735468605,0.0086116140341619,63,66,78,100,-0.004536803459568084,-1.0585002985397107e-05,2.9148121830101237e-05,0.63,0.63,0.0,True,True,False,False
3dof_spline_L500_N100_seed10,3dof,spline,500,100,10,4.531853905584567,0.4722848726634123,0.0069732338399626,68,73,79,100,4.528961971317256,0.4719291577663204,0.0070000837306724,68,73,79,100,-0.002891934267311491,-0.00035571489709190773,2.6849890709799984e-05,0.68,0.68,0.0,True,True,False,False
3dof_spline_L550_N100_seed10,3dof,spline,550,100,10,3.9009214813676474,0.4470305276068088,0.0102121186314616,52,61,69,100,3.903631949810341,0.4471177679405461,0.010218870579265,52,61,69,100,0.0027104684426935144,8.7240333737304e-05,6.7519478034010205e-06,0.52,0.52,0.0,False,False,False,False
