method,length,sample_idx,rmse_p,range_p,nrmse_p
unguided_dpf,400,5,0.09956680775729682,1.7319835383854727,0.07084015104346329
guided_dpf,400,5,0.029134503226842922,1.6130753325744855,0.0219824415281745
unguided_dpf,400,6,0.020199676853474634,2.062729046110729,0.009840937847715467
guided_dpf,400,6,0.009271929208559779,2.0565040340331198,0.004916291857807126
unguided_dpf,400,7,0.02627265373192239,1.6538413474405507,0.033193419694600095
guided_dpf,400,7,0.017204451557103564,1.6463324299681243,0.018300791245045526
unguided_dpf,400,8,0.06382238653957509,1.1301520142533712,0.10716198374339903
guided_dpf,400,8,0.05574238545618182,1.1364836380633054,0.08983765545249406
unguided_dpf,400,9,0.01669980956169154,1.630148548785973,0.018535568228207466
guided_dpf,400,9,0.010852193865204035,1.6593564647448638,0.009466883405938
unguided_dpf,400,10,0.02486909415644593,1.400767029745954,0.01865562222019584
guided_dpf,400,10,0.05599942448591502,1.3860831014554131,0.039951157263914065
unguided_dpf,400,11,0.03445568149233028,1.8626567146222979,0.027706160592650863
guided_dpf,400,11,0.007429175106651115,1.8584250846117263,0.005143359506925287
unguided_dpf,400,12,0.010008384934407585,2.069030370600643,0.00544091009798683
guided_dpf,400,12,0.0148837450194831,2.0738633462718448,0.008220991413193332
unguided_dpf,400,13,0.10603868044811982,1.8462788850354783,0.05456426494870661
guided_dpf,400,13,0.0508091113150441,1.8729302363044864,0.024733448625358607
unguided_dpf,400,14,0.07861945625507188,1.560316969217087,0.050633756273305276
guided_dpf,400,14,0.010415219659562264,1.6018763239438243,0.009464098346295366
unguided_dpf,400,15,0.023183915853645574,1.6858124760752808,0.04273053356228521
guided_dpf,400,15,0.020394693386862364,1.7257371623331867,0.03474492428789907
unguided_dpf,400,16,0.07634659465396426,1.6832091999643266,0.23985507353646063
guided_dpf,400,16,0.023382614859066352,1.6415310065123452,0.15130452385561874
unguided_dpf,400,17,0.06686394486030517,1.6637531576535374,0.04371238732197739
guided_dpf,400,17,0.0355369253038455,1.6845880492312053,0.022763041822680682
unguided_dpf,400,18,0.05594689255908029,1.8057442876089709,0.04647052245632597
guided_dpf,400,18,0.04178182800813171,1.764828987786597,0.039094220338629006
unguided_dpf,400,19,0.03577923684935428,1.5300557351794686,0.4473790661193566
guided_dpf,400,19,0.00905759939294259,1.5805683332358944,0.015429454961379476
unguided_dpf,450,0,0.05229525945981559,1.9181937711495223,0.05252095464386233
guided_dpf,450,0,0.086275852046595,1.8860063598961851,0.11009450708346451
unguided_dpf,450,1,0.034550789793963414,1.7025351421691866,0.06019299781793399
guided_dpf,450,1,0.022062194333402674,1.7999718708356331,0.027724497151457705
unguided_dpf,450,2,0.03436281153237081,1.5098914369078476,0.03155588689318084
guided_dpf,450,2,0.06883328774563123,1.516269103723969,0.04030367330016669
unguided_dpf,450,3,0.06274053236863691,2.305618354863436,0.03220037320775085
guided_dpf,450,3,0.046295465360098376,2.298444121535306,0.026143705810949557
unguided_dpf,450,4,0.05384742336658454,1.3803148635955482,0.22110042490997692
guided_dpf,450,4,0.03372672351665843,1.4452317917702624,0.17540203465386248
unguided_dpf,450,5,0.014699710262385804,1.4145939200797182,0.010627923247807572
guided_dpf,450,5,0.03260345527638331,1.4565958304514905,0.01967762611335698
unguided_dpf,450,6,0.056655951398674485,1.7739040011608103,0.028455560639274263
guided_dpf,450,6,0.05669180289876916,1.7731787176338036,0.02887278397350869
unguided_dpf,450,7,0.05171652414353176,1.1968369091447806,0.18085545255299476
guided_dpf,450,7,0.03511003792882248,1.1992053792047523,0.10570550981539723
unguided_dpf,450,8,0.024934007737755764,1.6819028514982033,0.0219474266216748
guided_dpf,450,8,0.05728128378086802,1.6264876075029155,0.07249546721362256
unguided_dpf,450,9,0.029165511705599962,1.8547111393594458,0.021074173942320567
guided_dpf,450,9,0.02721604840144258,1.8397796911525315,0.021773323266805745
unguided_dpf,450,10,0.016584181271081504,2.3046096717393074,0.007070769115130309
guided_dpf,450,10,0.0064822687358093226,2.3229260101532963,0.002757758292998083
unguided_dpf,450,11,0.08823945503181363,1.5971407188446696,0.36228390350513323
guided_dpf,450,11,0.0379881929076345,1.710692386146418,0.06824148351212013
unguided_dpf,450,12,0.080091009544498,1.496357751233324,0.14300694980577672
guided_dpf,450,12,0.006695626471983703,1.4353230445697154,0.024986757294062644
unguided_dpf,450,13,0.05755480128144244,1.2328373416097642,0.15620481803902697
guided_dpf,450,13,0.02648042041004541,1.2859974722945842,0.05036842156254804
unguided_dpf,450,14,0.04424940417188908,1.8140406118119523,0.12807158352849501
guided_dpf,450,14,0.015598688261540707,1.765610512993753,0.052782990952042926
unguided_dpf,450,15,0.22677463141525012,2.092806770356362,0.1231053084742097
guided_dpf,450,15,0.02718450868749077,1.806731561146625,0.02595883482379442
unguided_dpf,450,16,0.05060180203347225,1.8551687480612156,0.07748718208195765
guided_dpf,450,16,0.024835159613365132,1.7930691288027092,0.04955186627124864
unguided_dpf,450,17,0.09542828471847953,1.886526481126807,0.04687254844624231
guided_dpf,450,17,0.014930158636240929,1.9258659427935492,0.007162695312584177
unguided_dpf,450,18,0.051259146086440575,1.7950465878592892,0.11791213984764796
guided_dpf,450,18,0.036010349922455255,1.854246409212536,0.04645198012380012
unguided_dpf,450,19,0.1153193760516401,2.827715916082795,0.04408443562413705
guided_dpf,450,19,0.02237606351063573,2.717058298229906,0.009559476328553229
