system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ung_nrmse_q_mean,ung_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ung_nrmse_p_mean,ung_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std,ung_hamres_mean,ung_hamres_std
2dof,sinusoidal,800,100,0.72,0.7218972727160683,0.3581411070700352,0.8,0.40201512610368484,0.05479458984697086,0.10335662533128448,0.7565345336747117,0.2813002565679349,0.86,0.34873508801977704,0.32081643309645264,0.23514291615040617,0.0814781772384514,0.04494694000765897,1.0,0.0,4.762180262804032,3.852177880226295
2dof,sinusoidal,850,100,0.71,0.7121330395479716,0.3458704952673902,0.82,0.3861229196653691,0.057571124040850276,0.098565952374697,0.741840199975281,0.2606231283750839,0.85,0.35887028128263665,0.35542476577471904,0.2711809586024349,0.08075976981298119,0.0592916131667924,1.0,0.0,4.483954803943634,3.66992744231427
2dof,sinusoidal,900,100,0.64,0.8060908444318139,0.40763993506289353,0.75,0.43519413988924455,0.0395506472789758,0.04924084427929556,0.7709061643438874,0.27142505823672713,0.83,0.3775251680686369,0.344495999374273,0.29904368186310576,0.10101609465700044,0.05660315650077785,1.0,0.0,5.1127458190917965,3.848827120038142
2dof,sinusoidal,950,100,0.62,0.7721672030974893,0.38928775163393864,0.75,0.4351941398892446,0.040613125779450684,0.04715282539500568,0.7803367900685098,0.25159086816752774,0.8,0.40201512610368484,0.31580596606777595,0.19135128700335083,0.15232406179453467,0.09096207417040238,1.0,0.0,5.1685320973396305,4.286088441735916
2dof,sinusoidal,1000,100,0.68,0.7597405092359224,0.3110216700681683,0.82,0.3861229196653691,0.0502024877166912,0.07017866258295094,0.8058339319204626,0.2091723886547432,0.83,0.37752516806863684,0.30701540002963096,0.21401331429781545,0.17434337357250201,0.08282651652207394,1.0,0.0,5.976259964704513,4.599413583802601
2dof,spline,50,100,0.96,0.27991165591639033,0.24987891768892062,0.98,0.14070529413628968,0.22063440741507828,0.1660488074282859,0.2370804697953653,0.24810178481577871,0.97,0.1714466079977653,2.842026840729421,2.091310261569086,0.04335525055835067,0.06331694481549116,1.0,0.0,6.9917580169439315,5.494112700564472
2dof,spline,100,100,0.84,0.5315554691714021,0.31864678817465314,0.92,0.2726599243442907,0.07230322607658961,0.06321215174800689,0.49220430853669705,0.32063716400048325,0.92,0.2726599243442907,0.7434237510539273,0.622224109256424,0.0483397059862469,0.05378532241619681,1.0,0.0,1.8436748266220093,1.8299941846533554
2dof,spline,150,100,0.76,0.5750311223147219,0.33289969971374606,0.88,0.3265986323710904,0.05761394042524777,0.06440255907439217,0.6252747981717349,0.39446988171328023,0.83,0.37752516806863684,0.5190480530619023,0.44987523605231977,0.04205901817919045,0.042311342566686144,1.0,0.0,2.1373732858896255,1.9167260135348274
2dof,spline,200,100,0.71,0.666528718757406,0.4092459300026605,0.83,0.37752516806863695,0.05124866205676967,0.07323613940098905,0.6558585202007748,0.34982781435892346,0.82,0.3861229196653691,0.4437118188878573,0.31964785048709493,0.053122638142393847,0.06777543704955669,1.0,0.0,1.9958537441492081,1.961253539990212
2dof,spline,250,100,0.74,0.6327410105556467,0.3639164440223918,0.84,0.3684529491774706,0.045131499601219253,0.07147925059673668,0.6345843434224402,0.29243216222867674,0.88,0.3265986323710904,0.5099774023383967,0.8909319148692468,0.04167960277906832,0.04562189322816803,1.0,0.0,2.637426029443741,2.2274037298289673
