system,policy,length,n_samples,all3_win_rate,ratio_nmse_q_mean,ratio_nmse_q_std,imp_nmse_q_mean,imp_nmse_q_std,ratio_nmse_p_mean,ratio_nmse_p_std,imp_nmse_p_mean,imp_nmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,zero,200,100,0.72,0.4622174831122347,0.5430638886153484,0.86,0.3487350880197771,0.5030030893265524,0.556461757378981,0.85,0.35887028128263665,0.022509791095517234,0.01958543996190368,1.0,0.0
2dof,zero,250,100,0.83,0.4256202512330825,0.5409691144358931,0.94,0.23868325657594203,0.5066877121977982,0.6682593309634031,0.87,0.3379976689896311,0.019431565731173713,0.02177730047496339,1.0,0.0
2dof,zero,300,100,0.72,0.5276108456040026,0.6315402305673026,0.89,0.3144660377352202,0.70018746220932,0.6929267600308798,0.78,0.41633319989322654,0.014411990550330447,0.012246673930181777,1.0,0.0
2dof,zero,350,100,0.7,0.45364402123897096,0.3892242477961274,0.89,0.3144660377352202,0.6602172874809625,0.6473892103446376,0.8,0.4020151261036849,0.015521269070362761,0.01810312434067181,1.0,0.0
2dof,zero,400,100,0.73,0.4724768313264917,0.3771791468902678,0.9,0.30151134457776363,0.6409512145620456,0.5421641214473402,0.81,0.3942772444036625,0.021619981671224253,0.02779826767935981,1.0,0.0
2dof,zero,450,100,0.76,0.5113907054010333,0.41124161664348985,0.87,0.33799766898963113,0.5682858440370956,0.44618543797809546,0.86,0.348735088019777,0.01888043691267423,0.019529001277569003,1.0,0.0
2dof,zero,500,100,0.76,0.6024648619400795,0.460133381938762,0.87,0.33799766898963113,0.6349678167596825,0.5579507412872752,0.86,0.34873508801977704,0.01860767959907444,0.01848032378588835,1.0,0.0
2dof,zero,550,100,0.74,0.6716641840891416,0.6995407137568533,0.85,0.35887028128263676,0.7018932068419557,0.500638278521108,0.84,0.3684529491774707,0.021388106870114422,0.026351352053961073,1.0,0.0
2dof,zero,600,100,0.66,0.6591619668375217,0.6268754677434488,0.83,0.377525168068637,0.6743583758098625,0.4707501000475751,0.79,0.4093601807403323,0.019290002239038703,0.017258948665657206,1.0,0.0
2dof,zero,650,100,0.76,0.5387181005859059,0.38740025510955717,0.95,0.2190429135575903,0.6720816194744095,0.5298719452955315,0.81,0.39427724440366263,0.02029418683362193,0.019143702097756832,1.0,0.0
2dof,zero,700,100,0.67,0.614133944133034,0.46438567826164395,0.85,0.35887028128263676,0.7245494275924684,0.507487676421732,0.75,0.4351941398892446,0.03077522125625626,0.01695397169034867,1.0,0.0
2dof,zero,750,100,0.62,0.6611765886350228,0.4957906735658781,0.8,0.40201512610368484,160918.30287138643,1609175.9475787608,0.78,0.4163331998932266,0.052273875627441214,0.031608266617583196,1.0,0.0
2dof,zero,800,100,0.7,0.6600476581274338,0.5365765804361926,0.84,0.3684529491774707,0.7198776761506328,0.5946432131265768,0.81,0.3942772444036626,0.05910209161772664,0.036796616943042634,1.0,0.0
2dof,zero,850,100,0.62,0.663404570457113,0.49000260702550474,0.83,0.3775251680686368,0.75652635730161,0.40668436595584145,0.72,0.451260859854213,0.06468641213660996,0.057830230020416325,1.0,0.0
2dof,zero,900,100,0.6,0.723557449967594,0.5886154972262753,0.77,0.42295258468165076,0.6951943599626794,0.4604200508569794,0.74,0.44084400227680803,0.07413339068410746,0.043622864268427944,1.0,0.0
2dof,zero,950,100,0.58,0.7451807192310518,0.5411482902356247,0.74,0.4408440022768081,8502776.556382788,85027758.60727979,0.77,0.42295258468165065,0.13425689932755971,0.09848311369652024,1.0,0.0
2dof,zero,1000,100,0.64,0.7352391402385555,0.6173337515974869,0.79,0.40936018074033237,0.7132545678420078,0.45406363322090854,0.79,0.40936018074033237,0.17131858516571868,0.08604493225646771,1.0,0.0
3dof,gp,50,100,0.68,9.125606191268744,63.31981556334831,0.7,0.4605661864718382,0.2710257474900056,0.4012254141351275,0.98,0.1407052941362897,0.2125245943426098,0.2521668349780639,1.0,0.0
3dof,gp,100,100,0.66,1.8352751184909766,3.7594000653267075,0.67,0.4725815626252609,0.2204207478318761,0.38177862718240735,0.95,0.21904291355759034,0.20544606567294604,0.22174657386721847,1.0,0.0
3dof,gp,150,100,0.7,1.5771501273428055,3.8745190478506664,0.72,0.4512608598542129,0.21181728220932455,0.25927988023079157,0.97,0.1714466079977653,0.20756006313385028,0.22370475379936106,1.0,0.0
3dof,gp,200,100,0.71,9.396124401443874,38.33525053691362,0.72,0.451260859854213,0.32075168949233324,0.5021515195290239,0.95,0.21904291355759034,0.21716648702982916,0.23827730248805604,1.0,0.0
3dof,gp,250,100,0.59,17.27727731592174,95.70411243999239,0.6,0.4923659639173309,0.5324169344451886,1.1762235072507163,0.9,0.30151134457776363,0.2142148495480897,0.2367112750631145,1.0,0.0
3dof,gp,300,100,0.62,5.25582885333982,19.456830787376678,0.65,0.4793724854411022,0.4900920048099038,1.002606312454425,0.87,0.3379976689896311,0.16563098998113587,0.18280707559032902,1.0,0.0
3dof,gp,350,100,0.62,1.8600618988744149,6.489397081249498,0.66,0.47609522856952335,0.8777055973405042,3.137937643793801,0.86,0.34873508801977704,0.25879467670851475,0.28833403566614635,1.0,0.0
3dof,gp,400,100,0.67,13.89125834157191,92.90816781486596,0.72,0.451260859854213,1.569527909995933,5.679823486226799,0.78,0.41633319989322654,0.16699662433608808,0.18750516034033438,1.0,0.0
3dof,gp,450,100,0.67,2.620399309533294,9.33849234506158,0.74,0.44084400227680826,0.6872032461807406,1.0298741251025105,0.85,0.35887028128263665,0.17417425403393796,0.21777282836042067,1.0,0.0
3dof,gp,500,100,0.63,4.034959932168128,17.901672207706994,0.66,0.4760952285695233,0.9519327523962516,1.6323430789410405,0.8,0.4020151261036849,0.1773307719973537,0.17099427852780524,1.0,0.0
3dof,gp,550,100,0.56,5.778641944539395,32.51171068557425,0.58,0.49604496374885826,1.0152423964702388,2.1683702362012705,0.78,0.4163331998932266,0.22724896044973808,0.2501707165016138,1.0,0.0
3dof,gp,600,100,0.59,1.6966128196370993,3.0823965904865904,0.67,0.47258156262526085,1.2481262611032176,2.2725339486195484,0.73,0.4461960433384738,0.26635351089877385,0.2687099122829544,0.99,0.09999999999999999
3dof,gp,650,100,0.6,1.6965212041527815,4.228394392786739,0.68,0.4688261722621506,0.832974777058567,1.1232846609287717,0.73,0.4461960433384736,0.2835296638500904,0.26473082315914775,0.99,0.09999999999999999
3dof,gp,700,100,0.57,2.1964516160602,5.651221754009579,0.67,0.47258156262526085,2.4043914398180384,10.419196297796987,0.71,0.4560480215720686,0.3320041536808677,0.26438621643116905,0.99,0.1
3dof,gp,750,100,0.67,1.3665686977656282,3.3241310967474096,0.7,0.4605661864718382,1.0450375075738503,2.0393587812258,0.74,0.4408440022768081,0.30141871044415214,0.2556563385636768,0.99,0.1
3dof,gp,800,100,0.59,1.0575413263279885,1.3415558136293215,0.65,0.47937248544110217,1.0412343672856441,1.4427156241368162,0.7,0.4605661864718382,0.2643325271366999,0.2240931256570965,1.0,0.0
3dof,gp,850,100,0.67,3.070662354497191,18.585923096138757,0.74,0.4408440022768081,1.048990387026642,1.923700678352619,0.75,0.4351941398892447,0.31749590811662537,0.23596471744258807,1.0,0.0
3dof,gp,900,100,0.56,1.2083350652277824,1.841037760641411,0.65,0.47937248544110217,1.2935320682077875,2.9014403841358964,0.68,0.4688261722621507,0.30247505734542957,0.2309119793257396,0.99,0.09999999999999999
3dof,gp,950,100,0.5,1.8714095667303439,6.283830112821838,0.58,0.49604496374885826,1.8449141772071977,4.2684805895427305,0.59,0.4943110704237104,0.36743564941832046,0.2461881653428305,1.0,0.0
3dof,gp,1000,100,0.5,1.2920364607708636,1.9721744232260303,0.62,0.4878317312145633,1.5594367793694988,3.141766901630839,0.6,0.49236596391733095,0.38035020154101323,0.27890095467641124,0.99,0.1
3dof,sinusoidal,50,100,0.8,4.058881191562548,19.795500391082793,0.81,0.39427724440366263,0.23274346453065672,0.1965407635966631,0.99,0.09999999999999999,0.19610547812668103,0.22071510644876732,1.0,0.0
3dof,sinusoidal,100,100,0.7,2.62558649448625,6.047158772141126,0.73,0.44619604333847374,0.15704755529003,0.2430186796603022,0.97,0.1714466079977653,0.19142090816015217,0.20954465936210842,1.0,0.0
3dof,sinusoidal,150,100,0.69,1.5059710218464502,4.527600849250464,0.72,0.451260859854213,0.20091016458601227,0.30686064399310403,0.96,0.19694638556693236,0.14945439799458518,0.20911407916516137,1.0,0.0
3dof,sinusoidal,200,100,0.72,2.5723126898910884,14.19115406021425,0.77,0.42295258468165076,0.4127436806380181,1.2876133421958094,0.94,0.23868325657594203,0.1849790345170494,0.21670517605147877,1.0,0.0
3dof,sinusoidal,250,100,0.61,3.399536557967362,14.84415100208428,0.64,0.48241815132442184,0.4407110814440652,0.569541189732715,0.93,0.2564323999762428,0.17965406778161294,0.23208240138793249,1.0,0.0
