system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,zero,700,100,0.76,0.7195640502004127,0.27593840504825995,0.87,0.33799766898963113,0.7122571364214676,0.2792434524666853,0.86,0.34873508801977704,0.03077522125625626,0.01695397169034867,1.0,0.0
2dof,zero,750,100,0.66,0.7378506200143267,0.31125245872806173,0.76,0.42923469599092784,0.6792680734346989,0.2897485690661957,0.86,0.34873508801977693,0.052273875627441214,0.031608266617583196,1.0,0.0
2dof,zero,800,100,0.75,0.737707978610507,0.30479091863886343,0.84,0.3684529491774707,0.7135773239937593,0.2848446854067011,0.88,0.3265986323710904,0.05910209161772664,0.036796616943042634,1.0,0.0
2dof,zero,850,100,0.77,0.7543742299566145,0.28585299588188035,0.85,0.35887028128263676,0.718598030798908,0.2685960531678302,0.87,0.33799766898963113,0.06468641213660996,0.057830230020416325,1.0,0.0
2dof,zero,900,100,0.66,0.7712408375062233,0.3241467417188311,0.79,0.40936018074033237,0.7012254161915875,0.2802294262741768,0.83,0.3775251680686369,0.07413339068410746,0.043622864268427944,1.0,0.0
2dof,zero,950,100,0.71,0.7830596300598551,0.29767536246550697,0.76,0.42923469599092784,0.7246496019181987,0.24440065757694154,0.89,0.31446603773522014,0.13425689932755971,0.09848311369652024,1.0,0.0
2dof,zero,1000,100,0.72,0.7817597625401994,0.3075546716633057,0.8,0.40201512610368473,0.7256033720332088,0.2790408086996215,0.87,0.337997668989631,0.17131858516571868,0.08604493225646771,1.0,0.0
3dof,gp,50,100,0.71,0.7546555434396854,0.5047736061621203,0.73,0.4461960433384736,0.44936302808496625,0.2000276455767184,0.98,0.1407052941362897,0.2125245943426098,0.2521668349780639,1.0,0.0
3dof,gp,100,100,0.71,0.7951706547643532,0.7072195506511554,0.72,0.451260859854213,0.37564318564875365,0.27594589205454456,0.95,0.21904291355759034,0.20544606567294604,0.22174657386721847,1.0,0.0
3dof,gp,150,100,0.75,0.7882709383831095,0.7321257008127192,0.76,0.42923469599092784,0.40519427965208793,0.21773889998334803,0.97,0.1714466079977653,0.20756006313385028,0.22370475379936106,1.0,0.0
3dof,gp,200,100,0.7,1.2404242095727986,2.0968434979719217,0.71,0.4560480215720687,0.4567360245955915,0.28506280377981724,0.96,0.19694638556693236,0.21716648702982916,0.23827730248805604,1.0,0.0
3dof,gp,250,100,0.59,1.638825458986303,2.9932803326125965,0.6,0.49236596391733084,0.5841785684102018,0.36392928014736947,0.9,0.30151134457776363,0.2142148495480897,0.2367112750631145,1.0,0.0
3dof,gp,300,100,0.64,1.0817022908378346,1.5443953230795837,0.67,0.47258156262526074,0.5247830888586105,0.36417691558762594,0.88,0.3265986323710904,0.16563098998113587,0.18280707559032902,1.0,0.0
3dof,gp,350,100,0.66,0.8929858575055846,0.830405189601562,0.7,0.4605661864718383,0.640811168314702,0.5646579871648798,0.85,0.35887028128263665,0.25879467670851475,0.28833403566614635,1.0,0.0
3dof,gp,400,100,0.69,1.1785611881952207,2.3339425356059667,0.73,0.44619604333847357,0.7859736553001064,0.8699213944886839,0.78,0.41633319989322654,0.16699662433608808,0.18750516034033438,1.0,0.0
3dof,gp,450,100,0.69,0.9293496682276848,1.029493621883134,0.75,0.4351941398892447,0.6645302492384434,0.4084411201692958,0.85,0.35887028128263665,0.17417425403393796,0.21777282836042067,1.0,0.0
