sigma,policy,L,ung_mean,ung_median,ung_std,gui_mean,gui_median,gui_std,ratio_mean,ratio_median
15,spline,200,1.0317158099127826,0.8929969375473117,0.5885633632556818,0.973782447378331,0.7982680915691653,0.5771790574413197,1.0594931267147225,1.1186679600232257
20,spline,200,0.9547525033990351,0.816442376940308,0.5098200610266229,0.9365072365141471,0.828505773482501,0.5106393468951224,1.0194822486933472,0.9854395745590446
30,spline,200,1.0235970578376603,0.9066493509203132,0.5137499072797986,1.0241881204217478,0.8936669879752918,0.5195319261334805,0.999422896465696,1.0145270700604423
0,spline,500,14788.321638183803,298.2238333246712,122270.05337952712,4.977517364438121,4.405891009810139,2.4584322731367543,2971.0236158770604,67.68751942811278
1,spline,500,2644.941289526003,59.76446872861386,21820.203853771498,4.876738723265937,4.34468411374867,2.421852957213896,542.3586211226616,13.755768466455441
2,spline,500,467.80014963930245,15.202280172457236,3817.769753357969,4.662765917199477,4.195777430288957,2.344773388939168,100.32674981897222,3.6232332207884244
3,spline,500,151.42037241269597,8.014243392120939,1209.7391462650885,4.449846295381488,4.035042602792767,2.2643582682493824,34.02822532766036,1.986160787143624
5,spline,500,37.01240136962176,5.230416448441268,269.9453763255456,4.114965233799785,3.7551275960894293,2.1107640263580185,8.994584222876721,1.3928731619900738
7,spline,500,15.972183004068508,4.156663874854777,99.03879770640908,3.8457514395210906,3.475799534126458,1.9564827527320525,4.153202112837931,1.1958871143296343
10,spline,500,7.681244845570433,3.425241731132176,34.00744949810249,3.4829389800256534,3.211983858801934,1.7276829124500848,2.205391736582723,1.066394440851825
15,spline,500,4.192462805650169,2.831538582444202,10.004314621615078,2.9448165776553346,2.7437709387158478,1.3860830770697556,1.4236753614679156,1.0319879631677387
20,spline,500,3.0199178807273994,2.404866877323326,4.194696683981031,2.4993582042697042,2.3851516481554462,1.1165485454433624,1.2082773391858808,1.0082658178917583
30,spline,500,2.047143697173826,1.7756853388213634,1.3342170108536204,1.9019714318507603,1.770160165058749,0.7813979740470935,1.0763272585970454,1.003121284656426
0,spline,1000,9952.970048143701,436.14431690696847,89118.96833489086,9.625684154880233,9.099532210801712,4.117108461765812,1034.0013123220476,47.930410795099775
1,spline,1000,1786.0665245249506,88.04710663826506,15881.489602604797,9.515779081059701,8.970250749774351,4.087403693209042,187.6952490500704,9.815456567976085
2,spline,1000,322.06644450264105,23.93794230353499,2785.0236129337136,9.276373359863632,8.672466151311514,4.019851383168298,34.71900407718989,2.760223203628753
3,spline,1000,108.68354164523825,14.437132798235407,884.9566011041372,9.026753757045363,8.397796940769451,3.939474909730271,12.040158020308349,1.7191571670596502
5,spline,1000,31.094364012977934,9.629516295064283,198.81253512449592,8.600023773467258,7.949255683323124,3.7570962212035517,3.615613727593414,1.211373325840582
7,spline,1000,16.596253966782125,8.652870035959655,73.4285025620243,8.219918700788762,7.651667785815722,3.5476771397219715,2.0190289674263555,1.130847584888606
10,spline,1000,10.632122867807205,7.713134989785044,25.580609272191914,7.6534035763331705,7.129710547505493,3.2017350362506134,1.389201910204397,1.0818300320037084
15,spline,1000,7.655183533259653,6.560763740206744,8.127578696632195,6.687771362620501,6.367033294109586,2.606358433430754,1.144653894127757,1.0304271137197265
20,spline,1000,6.210005807960212,5.7481608155187995,3.9778828250527742,5.748778290747463,5.494640084403243,2.059341952137754,1.0802305279288793,1.0461396428558052
30,spline,1000,4.347192808986693,4.0992873829246275,1.6960756955971925,4.174894750077137,4.014721196087791,1.2632189856627227,1.0412700365455614,1.0210640247993419
